Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Public health literacy in the face of the Covid-19 pandemic emergency TT - Alfabetizacion en salud publica ante la emergencia de la pandemia por Covid-19,"Lazcano-Ponce, Eduardo; Alpuche-Aranda, Celia","Health literacy is the process of obtaining knowledge, motivation and individual competencies to understand and access information, express opinions and make decisions with respect to health promotion and maintenance. This applies in different contexts, environments, and throughout life. This conceptual perspective is very necessary in the face of the SARS-CoV-2 virus emergency. This virus produces the Covid-19 disease, which has become a pandemic of devastating effects not only healthwise, but also, importantly, from an economic, political and social point of view. This essay seeks to establish the scientific evidence-based elements that guide public policies for prevention and control. Some of these elements are: a) epidemiologic intelligence. This includes not only the strategy of public surveillance, but also sentinel and event-based surveillance, as it is impossible to actually identify all positive cases; b) Mitigating measures against the spread of the epidemic, such as social distancing and hygiene, washing hands, quarantine, restricting movement and using masks, among others; c) Measures to suppress transmission when the number of cases is very high, such as strict measures to stay at home; d) strengthening health services 'capacity for medical attention and improving health services' ability to prevent transmission, including the use of diagnostic tests; e) the development of prophylactic vaccines against Covid-19, as well as the development of therapeutic agents. All of these actions must be rapidly implemented, from a multidisciplinary and multisectorial public health perspective, and they absolutely must also be taken with the community's participation as shared responsibility. Therefore, public health literacy is needed. La alfabetizacion en salud es el proceso centrado en la obtencion del conocimiento, la motivacion y las competencias individuales para entender y acceder a informacion, expresar opiniones y tomar decisiones relacionadas con la promocion y el mantenimiento de la salud, lo que es aplicable en diferentes contextos, entornos y a lo largo de toda la vida. Esta perspectiva conceptual es muy necesaria ante la emergencia del virus SARS-CoV-2 que produce la enfermedad Covid-19, la cual ha producido una pandemia con efectos devastadores, no solo desde el punto de vista de la salud, sino tambien, de manera muy importante, desde el economico, politico y social. En este ensayo se tratan de establecer los elementos basados en la evidencia cientifica que orientan las politicas publicas de prevencion y control, entre los que destacan: a) la inteligencia epidemiologica, la cual incluye no solo la estrategia de vigilancia poblacional sino, ante la imposibilidad real de identificacion de todos los casos positivos, la puesta en practica de estrategias de vigilancia centinela y la vigilancia basada en eventos; b) las medidas de mitigacion de la propagacion de la epidemia, tales como distanciamiento social e higiene, lavado de manos, cuarentena, restriccion de movimiento y utilizacion de cubrebocas, entre otras; c) medidas de supresion de la transmision cuando el numero de casos es muy elevado, como el endurecimiento de medidas drasticas de encierro en casa; d) fortalecimiento de la capacidad de atencion medica en los sistemas de salud e incremento de la capacidad de prevencion de la transmision en los servicios de salud, incluyendo la utilidad de las pruebas diagnosticas; y e) el desarrollo de vacunas profilacticas contra Covid-19, asi como la generacion de agentes terapeuticos. Todas estas acciones no solo deben implementarse rapidamente desde la perspectiva multidisciplinaria y multisectorial de la salud publica para contener, prevenir y controlar la epidemia, sino que necesitan obligatoriamente del concurso de la comunidad como responsabilidad compartida. Debido a todo esto, es necesaria la alfabetizacion en salud publica.",2020,,Salud publica de Mexico,,,,,10.21149/11408,19488,#95174,Lazcano-Ponce 2020,,,95174,22-04-20
Canada and coronavirus: could have done better,"Yngson, Matthew Pajares",,2020,,The Round Table,,,01-Feb,,10.1080/00358533.2020.1757286,19344,#95179,Yngson 2020,,,95179,22-04-20
Australia and the Covid-19 crisis,"McDougall, Derek",,2020,,The Round Table,,,01-Feb,,10.1080/00358533.2020.1757282,19348,#95180,McDougall 2020,,,95180,22-04-20
Covid-19: the Sri Lankan response,"Jayasuriya, Dayanath",,2020,,The Round Table,,,01-Feb,,10.1080/00358533.2020.1757281,19305,#95181,Jayasuriya 2020,,,95181,22-04-20
New Zealand and Covid-19: a swift and firm response,"Cox, Noel",,2020,,The Round Table,,,01-Feb,,10.1080/00358533.2020.1757287,19367,#95182,Cox 2020,,,95182,22-04-20
"Melatonin: Roles in influenza, Covid-19, and other viral infections","Anderson, George; Reiter, Russel J.","There is a growing appreciation that the regulation of the melatonergic pathways, both pineal and systemic, may be an important aspect in how viruses drive the cellular changes that underpin their control of cellular function. We review the melatonergic pathway role in viral infections, emphasizing influenza and covid-19 infections. Viral, or preexistent, suppression of pineal melatonin disinhibits neutrophil attraction, thereby contributing to an initial ""cytokine storm"", as well as the regulation of other immune cells. Melatonin induces the circadian gene, Bmal1, which disinhibits the pyruvate dehydrogenase complex (PDC), countering viral inhibition of Bmal1/PDC. PDC drives mitochondrial conversion of pyruvate to acetyl-coenzyme A (acetyl-CoA), thereby increasing the tricarboxylic acid cycle, oxidative phosphorylation, and ATP production. Pineal melatonin suppression attenuates this, preventing the circadian ""resetting"" of mitochondrial metabolism. This is especially relevant in immune cells, where shifting metabolism from glycolytic to oxidative phosphorylation, switches cells from reactive to quiescent phenotypes. Acetyl-CoA is a necessary cosubstrate for arylalkylamine N-acetyltransferase, providing an acetyl group to serotonin, and thereby initiating the melatonergic pathway. Consequently, pineal melatonin regulates mitochondrial melatonin and immune cell phenotype. Virus- and cytokine-storm-driven control of the pineal and mitochondrial melatonergic pathway therefore regulates immune responses. Virus-and cytokine storm-driven changes also increase gut permeability and dysbiosis, thereby suppressing levels of the short-chain fatty acid, butyrate, and increasing circulating lipopolysaccharide (LPS). The alterations in butyrate and LPS can promote viral replication and host symptom severity via impacts on the melatonergic pathway. Focussing on immune regulators has treatment implications for covid-19 and other viral infections.",2020,,Reviews in medical virology,,,e2109-e2109,,10.1002/rmv.2109,19369,#95194,Anderson 2020,,,95194,22-04-20
Chest CT features and their role in COVID-19,"Li, Meng","Since December 2019, the novel coronavirus disease (COVID-19) has spread rapidly throughout China. This article reviews the chest CT features of COVID-19 and analyzes the role of chest CT in this health emergency.",2020,,Radiol Infect Dis,,,,32309528,10.1016/j.jrid.2020.04.001,20362,#95229,Li 2020,,,95229,22-04-20
Response letter to Eosinophil count in severe coronavirus disease 2019 (COVID-19),"Qian, Guo-Qing; Zhang, Xie; Ma, Ada Hoi Yan; Yang, Nai-Bin",,2020,,QJM: An International Journal of Medicine,,,,,10.1093/qjmed/hcaa138,19451,#95239,Qian 2020,,,95239,22-04-20
Eosinophil count in severe coronavirus disease 2019 (COVID-19),"Lippi, Giuseppe; Henry, Brandon M.",,2020,,QJM: An International Journal of Medicine,,,,,10.1093/qjmed/hcaa137,19325,#95240,Lippi 2020,,,95240,22-04-20
EXPRESS: Understanding the current status of patients with pulmonary hypertension during COVID-19 outbreak: a small scale national survey from China,"Zhou, Hongmei; Zhang, Gangcheng; Deng, Xiaoxian; Jin, Bowen; Qiu, Qiu; Yan, Menghuan; Wang, Xi; zheng, xuan",,2020,,Pulmonary Circulation,,,2045894020924566-2045894020924566,,10.1177/2045894020924566,19472,#95260,Zhou 2020,,,95260,22-04-20
Potential Threats of COVID-19 On Quarantined Families,"Ansari, Mohsen; Yousefabad, Saeedeh Ahmadi",,2020,,Public Health,,,,,https://doi.org/10.1016/j.puhe.2020.04.014,19623,#95264,Ansari 2020,,,95264,22-04-20
Consultation-Liaison Psychiatry in the Age of COVID-19: Reaffirming Ourselves and Our Worth,"Funk, Margo C.; Beach, Scott R.; Shah, Sejal B.; Boland, Robert",,2020,,Psychosomatics,,,,,https://doi.org/10.1016/j.psym.2020.04.013,19607,#95274,Funk 2020,,,95274,22-04-20
COVID-19 paranoia in a patient suffering from schizophrenic psychosis – a case report,"Fischer, M.; Coogan, A. N.; Faltraco, F.; Thome, J.",,2020,,Psychiatry Research,288,,,,10.1016/j.psychres.2020.113001,19836,#95284,Fischer 2020,,,95284,22-04-20
Challenges of facing coronavirus disease 2019: Psychiatric services for patients with mental disorders,"Cui, Long-Biao; Wang, Xiao-Hui; Wang, Hua-Ning",,2020,,Psychiatry Clin Neurosci,,,,32237013,10.1111/pcn.13003,23685,#95307,Cui 2020,,,95307,22-04-20
The Effect of COVID-19 on Youth Mental Health,"Liang, Leilei; Ren, Hui; Cao, Ruilin; Hu, Yueyang; Qin, Zeying; Li, Chuanen; Mei, Songli","The purposes of this study was to assess the youth mental health after the coronavirus disease 19 (COVID-19) occurred in China two weeks later, and to investigate factors of mental health among youth groups. A cross-sectional study was conducted two weeks after the occurrence of COVID-19 in China. A total of 584 youth enrolled in this study and completed the question about cognitive status of COVID-19, the General Health Questionnaire(GHQ-12), the PTSD Checklist-Civilian Version (PCL-C) and the Negative coping styles scale. Univariate analysis and univariate logistic regression were used to evaluate the effect of COVID-19 on youth mental health. The results of this cross-sectional study suggest that nearly 40.4% the sampled youth were found to be prone to psychological problems and 14.4% the sampled youth with Post-traumatic stress disorder (PTSD) symptoms. Univariate logistic regression revealed that youth mental health was significantly related to being less educated (OR = 8.71, 95%CI:1.97–38.43), being the enterprise employee (OR = 2.36, 95%CI:1.09–5.09), suffering from the PTSD symptom (OR = 1.05, 95%CI:1.03–1.07) and using negative coping styles (OR = 1.03, 95%CI:1.00–1.07). Results of this study suggest that nearly 40.4% of the youth group had a tendency to have psychological problems. Thus, this was a remarkable evidence that infectious diseases, such as COVID-19, may have an immense influence on youth mental health. Therefor, local governments should develop effective psychological interventions for youth groups, moreover, it is important to consider the educational level and occupation of the youth during the interventions.",2020,,Psychiatric Quarterly,,,01-Dec,,10.1007/s11126-020-09744-3,19413,#95308,Liang 2020,,,95308,22-04-20
"Report from the COVID-19 Virtual Summit, Disaster Experts Speak Out, March 31, 2020","Phillips, James P.; Ragazzoni, Luca; Burel, W. Greg; Burkle, Frederick M.; Keim, Mark","This article captures the webinar narrative on March 31, 2020 of four expert panelists addressing three questions on the current coronavirus disease 2019 (COVID-19) pandemic. Each panelist was selected for their unique personal expertise, ranging from front-line emergency physicians in multiple countries, an international media personality, former director of the US Strategic National Stockpile, and one of the foremost international experts in disaster medicine and public policy. The forum was moderated by one of the most widely recognized disaster medical experts in the world. The four panelists were asked three questions regarding the current pandemic as follows:1. What do you see as a particular issue of concern during the current pandemic?2. What do you see as a particular strength during the current pandemic?3. If you could change one thing about the way that the pandemic response is occurring, what would you change?",2020,,Prehospital and disaster medicine,,,Jan-22,,10.1017/S1049023X20000552,19622,#95344,Phillips 2020,,,95344,22-04-20
Impact of cancelling foundation year rotations due to the covid-19 outbreak in the UK,"Ding, Anni; Zhang, Yuanpei",,2020,,Postgraduate medical journal,,,,,10.1136/postgradmedj-2020-137775,19345,#95351,Ding 2020,,,95351,22-04-20
COVID-19 pandemic and economic cost; impact on forcibly displaced people,"Kabir, Mahvish; Afzal, Muhammad Sohail; Khan, Aisha; Ahmed, Haroon",,2020,,Travel Med Infect Dis,,,,32272198,10.1016/j.tmaid.2020.101661,22482,#95399,Kabir 2020,,,95399,22-04-20
Age-adjusted D-dimer cut-off levels to rule out venous thromboembolism in COVID-19 patients,"Roncon, Loris; Zuin, Marco; Zonzin, Pietro",,2020,,Thrombosis Research,,,,,https://doi.org/10.1016/j.thromres.2020.04.021,19554,#95461,Roncon 2020,,,95461,22-04-20
